Response ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
Response ID,"Q1: Have you completed any subspecialty training, and if so, what is the field of your subspecialty?",Q2: In what type of environment do you mainly practice?,Q3: Did you perform any Hypoglossal Nerve Stimulator Implant surgeries during residency?,Q4: How many years have you been in practice (post-training)?,Q5: How many Hypoglossal Nerve Stimulator Implant surgeries have you performed post-training?,Q6: How frequently are you performing Hypoglossal Nerve Stimulator Implant surgery?,"Q7: Thinking back over your hypoglossal nerve stimulator surgeries, how many times have you decided to adjust your placement of the cuff around the hypoglossal nerve based on the results of intraoperative stimulation testing?",Q8: How often does manipulating without removing the cuff resolve any issues you encounter with tongue protrusion?,Q9: How often do you need to exclude C1 in order to securely place the cuff around the appropriate branches?,Q10: What is the most common finding that leads you to adjusting or revising cuff placement intraoperatively?,"Q11: If you notice tongue retraction in addition to protrusion during intraoperative stimulation, what is your first step in troubleshooting issues with the cuff?",Q12: What is your second step when troubleshooting issues with the cuff?,Q13: What is your third step when troubleshooting issues with the cuff?,"Q14: If you have had cases where you were unable to resolve tongue retraction, how have you proceeded?","Q15: In cases where you have had to revise the cuff placement, how much time has the troubleshooting added to your case time?"
R_1kNSQSWpBGK18hx,No Fellowship,Private,No,6-10,100-200,> 2 per week,1-5% of the time,Always,Sometimes (26-50%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_5LRsWrvNxmzouHa,No Fellowship,Private,No,>15,20-50,Once every other week,5-10% of the time,Sometimes (50-75% of the time),Sometimes (26-50%),Lack of any visible tongue motion with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Stimulating superior and/or deep aspects of the nerve,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,30-45 min
R_3BfIOs4KDvMKhir,No Fellowship,Private,No,10-15,100-200,> 2 per week,< 1% of the time,Often (more than 75% of the time),Rarely (1-25%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_7DTengT3DhnQDAg,Sleep Medicine & Surgery,Academic,Yes,6-10,100-200,1-2 per week,1-5% of the time,Never,Sometimes (26-50%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3VRaJSNAS356K6l,No Fellowship,Academic,No,>15,> 200,> 2 per week,1-5% of the time,Often (more than 75% of the time),Always (75-100%),Tongue retraction with stimulation,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_1Nf6pNMfCzNf5Ie,"Rhinology, Sinus & Anterior Endoscopic Skull Base Surgery",Academic,No,6-10,20-50,Once every other week,5-10% of the time,Never,Never (0%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2dd9hJfTnLesRrX,Facial Plastics & Reconstructive Surgery,Academic,No,1-5,< 20,Once a month,< 1% of the time,Rarely (less than 50% of the time),Often (50-75%),Tongue retraction with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Open window around cuff without removing,N/A: I have always been able to resolve any issues with retraction prior to closure,15-30 min
R_3xz77M7bVWJuNkD,No Fellowship,Private,Yes,1-5,20-50,Once a month,1-5% of the time,Often (more than 75% of the time),Rarely (1-25%),Lack of any visible tongue motion with stimulation,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,Remove and replace the cuff with stimulation,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
R_2PT464EjtXMhQvO,No Fellowship,Academic,Yes,6-10,> 200,> 2 per week,1-5% of the time,Rarely (less than 50% of the time),Rarely (1-25%),Tongue retraction with stimulation,Open window around cuff without removing,Stimulating superior and/or deep aspects of the nerve,Dissecting distal aspect to exclude one or more hypoglossal branches,N/A: I have always been able to resolve any issues with retraction prior to closure,0-15 min
